PID,Date,Time,IP Address,Port,Username,Scenario,Details
1890686,May 11,00:02:25,NULL,NULL,NULL,Connection reset,IP
1906763,May 11,02:10:04,172.236.228.111,58142,NULL,Connection closed,IP
1906765,May 11,02:10:05,172.236.228.111,58158,NULL,Connection closed,IP
1906767,May 11,02:10:07,172.236.228.111,58172,NULL,Connection closed,IP
1909889,May 11,02:34:59,NULL,NULL,NULL,Connection closed,IP
1909890,May 11,02:35:00,223.113.128.145,53478,NULL,Connection closed,IP
1909892,May 11,02:35:01,223.113.128.145,55976,NULL,Connection closed,IP
1910170,May 11,02:37:10,NULL,NULL,NULL,Connection closed,IP
1912657,May 11,02:56:59,NULL,NULL,NULL,Connection closed,IP
1919862,May 11,03:54:16,NULL,NULL,NULL,Connection closed,IP
1920235,May 11,03:57:16,NULL,NULL,NULL,banner line contains invalid characters,NULL
1924324,May 11,04:29:34,NULL,NULL,NULL,Connection closed,IP
1928541,May 11,05:03:07,NULL,NULL,NULL,Connection closed,IP
1930141,May 11,05:15:48,NULL,NULL,NULL,Connection closed,IP
1937057,May 11,06:10:47,NULL,NULL,NULL,Connection closed,IP
1937443,May 11,06:13:55,193.32.162.157,46018,NULL,NULL,NULL
1941103,May 11,06:42:54,NULL,NULL,NULL,Connection closed,IP
1941115,May 11,06:42:57,NULL,NULL,NULL,Connection closed,IP
1948531,May 11,07:41:23,NULL,NULL,NULL,client sent invalid protocol identifier,MGLNDD_120.26.163.214_22
1951882,May 11,08:08:11,45.79.181.104,24288,NULL,Connection closed,IP
1951884,May 11,08:08:13,45.79.181.104,24304,NULL,Connection closed,IP
1951886,May 11,08:08:14,45.79.181.104,24308,NULL,Connection closed,IP
1951973,May 11,08:08:53,172.236.228.86,61034,NULL,Connection closed,IP
1951975,May 11,08:08:55,172.236.228.86,61050,NULL,Connection closed,IP
1951977,May 11,08:08:57,172.236.228.86,61052,NULL,Connection closed,IP
1959784,May 11,09:11:15,NULL,NULL,NULL,banner line contains invalid characters,NULL
1966988,May 11,10:08:48,205.210.31.153,63694,NULL,Connection reset,IP
1975081,May 11,11:13:20,NULL,NULL,NULL,banner line contains invalid characters,NULL
1975082,May 11,11:13:22,NULL,NULL,NULL,client sent invalid protocol identifier,GET / HTTP/1.1
1975128,May 11,11:13:42,101.251.238.174,60668,NULL,Connection closed,IP
1975172,May 11,11:14:03,101.251.238.174,36270,NULL,DH GEX group out of range,NULL
