PID,Date,Time,IP Address,Port,Username,Scenario,Details,Source
1023259,Apr 13,00:19:54,1.117.113.68,41428.0,steam,Dictionary Attack,NULL,"China, Shanghai, Shanghai, China Internet Network Information Center"
1024443,Apr 13,00:29:19,NULL,NULL,NULL,Connection closed,IP,NULL
1025405,Apr 13,00:36:58,139.19.117.131,41704.0,admin,Dictionary Attack,NULL,"Germany, Saarland, Saarbrücken, Mitte, MPII"
1026712,Apr 13,00:47:23,NULL,NULL,NULL,client sent invalid protocol identifier,MGLNDD_120.26.163.214_22,NULL
1027255,Apr 13,00:51:48,139.59.67.69,46396.0,root,Connection closed,IP,"India, Karnataka, Bengaluru, DigitalOcean, LLC"
1027267,Apr 13,00:51:48,139.59.67.69,46410.0,root,Connection closed,IP,"India, Karnataka, Bengaluru, DigitalOcean, LLC"
1027269,Apr 13,00:51:49,139.59.67.69,46424.0,root,Connection closed,IP,"India, Karnataka, Bengaluru, DigitalOcean, LLC"
1027271,Apr 13,00:51:50,139.59.67.69,46440.0,root,Connection closed,IP,"India, Karnataka, Bengaluru, DigitalOcean, LLC"
1027273,Apr 13,00:51:51,139.59.67.69,46444.0,root,Connection closed,IP,"India, Karnataka, Bengaluru, DigitalOcean, LLC"
1027275,Apr 13,00:51:52,139.59.67.69,46452.0,root,Connection closed,IP,"India, Karnataka, Bengaluru, DigitalOcean, LLC"
1027277,Apr 13,00:51:52,139.59.67.69,46456.0,root,Connection closed,IP,"India, Karnataka, Bengaluru, DigitalOcean, LLC"
1027290,Apr 13,00:51:53,139.59.67.69,46460.0,root,Connection closed,IP,"India, Karnataka, Bengaluru, DigitalOcean, LLC"
1027292,Apr 13,00:51:54,139.59.67.69,36082.0,root,Connection closed,IP,"India, Karnataka, Bengaluru, DigitalOcean, LLC"
1027294,Apr 13,00:51:55,139.59.67.69,36086.0,root,Connection closed,IP,"India, Karnataka, Bengaluru, DigitalOcean, LLC"
1027296,Apr 13,00:51:55,139.59.67.69,36094.0,root,Connection closed,IP,"India, Karnataka, Bengaluru, DigitalOcean, LLC"
1027298,Apr 13,00:51:56,139.59.67.69,36106.0,root,Connection closed,IP,"India, Karnataka, Bengaluru, DigitalOcean, LLC"
1027300,Apr 13,00:51:57,139.59.67.69,36108.0,root,Connection closed,IP,"India, Karnataka, Bengaluru, DigitalOcean, LLC"
1032774,Apr 13,01:35:32,139.19.117.131,49594.0,admin,Dictionary Attack,NULL,"Germany, Saarland, Saarbrücken, Mitte, MPII"
1034028,Apr 13,01:45:26,47.92.224.204,41962.0,NULL,Connection closed,IP,"China, Beijing, Beijing, Hangzhou Alibaba Advertising Co"
